model,device,input_w,input_h,output_w,output_h,avg_time_ms,frames
FSRCNN_x4.pb,cpu,640,360,3840,2160,30,1.47,0.14,1.39,1.66,1.81,202.24,205.45,0.0,1.27
FSRCNN_x4.pb,opencl,640,360,3840,2160,29,1.61,0.22,1.66,1.9,1.93,197.74,202.7,0.0,1.42
FSRCNN_x2.pb,cpu,1280,720,3840,2160,30,2.66,0.66,2.42,3.73,4.3,980.72,1046.15,0.39,1.68
FSRCNN_x2.pb,opencl,1280,720,3840,2160,30,2.07,0.44,1.94,2.12,3.78,701.88,703.91,0.06,1.37
FSRCNN_x3.pb,cpu,1280,720,3840,2160,30,0.85,0.01,0.85,0.85,0.86,839.56,845.15,0.0,0.01
FSRCNN_x3.pb,opencl,1280,720,3840,2160,29,0.75,0.02,0.75,0.76,0.85,747.1,748.36,0.0,0.01
FSRCNN_x4.pb,cpu,1280,720,3840,2160,29,3.98,0.65,3.74,4.23,6.36,1160.91,1172.59,0.0,2.82
FSRCNN_x4.pb,opencl,1280,720,3840,2160,29,3.73,0.83,3.45,3.97,6.72,838.8,843.84,0.0,2.89
FSRCNN_x2.pb,cpu,1920,1080,3840,2160,30,2.3,0.02,2.3,2.32,2.33,2289.11,2308.94,0.0,0.01
FSRCNN_x2.pb,opencl,1920,1080,3840,2160,30,1.57,0.02,1.57,1.58,1.65,1563.75,1575.7,0.0,0.01
FSRCNN_x3.pb,cpu,1920,1080,3840,2160,30,5.72,0.31,5.67,6.12,6.34,2520.34,2575.36,0.0,3.2
FSRCNN_x3.pb,opencl,1920,1080,3840,2160,28,5.6,0.86,5.3,7.4,7.65,1889.41,1963.73,0.0,3.71
FSRCNN_x4.pb,cpu,1920,1080,3840,2160,27,6.76,0.12,6.71,6.94,7.07,2608.23,2652.81,0.0,4.15
FSRCNN_x4.pb,opencl,1920,1080,3840,2160,30,6.1,0.22,6.04,6.3,6.76,1794.1,1803.75,0.0,4.31
FSRCNN_x2.pb,cpu,2560,1440,3840,2160,18,7.26,0.8,7.04,7.41,9.99,4257.2,4322.52,0.01,3.0
FSRCNN_x2.pb,opencl,2560,1440,3840,2160,20,6.65,0.87,6.42,7.1,9.63,3334.44,3559.99,0.0,3.32
FSRCNN_x3.pb,cpu,2560,1440,3840,2160,25,9.44,0.69,9.34,9.66,11.9,4578.33,4675.88,0.0,4.86
FSRCNN_x3.pb,opencl,2560,1440,3840,2160,21,8.32,0.65,8.2,8.55,10.5,3612.92,3654.92,0.0,4.71
FSRCNN_x4.pb,cpu,2560,1440,3840,2160,19,11.32,1.39,10.88,11.63,15.99,4872.65,4922.25,0.0,6.45
FSRCNN_x4.pb,opencl,2560,1440,3840,2160,24,10.55,1.13,10.32,10.96,14.58,4046.38,4230.61,0.0,6.5
